accid,gene,uniprot_id,gene_synonym,gene_orfname,reviewed
A0A024RBG1,NUDT4B,NUD4B_HUMAN,none,none,Y
A0A075B6H7,IGKV3-7,KV37_HUMAN,none,none,Y
A0A075B6H8,IGKV1D-42,KVD42_HUMAN,none,none,Y
A0A075B6H9,IGLV4-69,LV469_HUMAN,none,none,Y
A0A075B6I0,IGLV8-61,LV861_HUMAN,none,none,Y
A0A075B6I1,IGLV4-60,LV460_HUMAN,none,none,Y
A0A075B6I3,IGLV11-55,LVK55_HUMAN,none,none,Y
A0A075B6I4,IGLV10-54,LVX54_HUMAN,none,none,Y
A0A075B6I6,IGLV1-50,LV150_HUMAN,none,none,Y
A0A075B6I7,IGLV5-48,LV548_HUMAN,none,none,Y
A0A075B6I9,IGLV7-46,LV746_HUMAN,none,none,Y
A0A075B6J1,IGLV5-37,LV537_HUMAN,none,none,Y
A0A075B6J2,IGLV2-33,LV233_HUMAN,none,none,Y
A0A075B6J6,IGLV3-22,LV322_HUMAN,none,none,Y
A0A075B6J9,IGLV2-18,LV218_HUMAN,none,none,Y
A0A075B6K0,IGLV3-16,LV316_HUMAN,none,none,Y
A0A075B6K2,IGLV3-12,LV312_HUMAN,none,none,Y
A0A075B6K4,IGLV3-10,LV310_HUMAN,none,none,Y
A0A075B6K5,IGLV3-9,LV39_HUMAN,none,none,Y
A0A075B6K6,IGLV4-3,LV403_HUMAN,none,none,Y
A0A075B6N1,TRBV19,TVB19_HUMAN,none,none,Y
A0A075B6N2,TRBV20-1,TVBT1_HUMAN,none,none,Y
A0A075B6N3,TRBV24-1,TVBX1_HUMAN,none,none,Y
A0A075B6N4,TRBV25-1,TVBY1_HUMAN,none,none,Y
A0A075B6P5,IGKV2-28,KV228_HUMAN,none,none,Y
A0A075B6Q5,IGHV3-64,HV364_HUMAN,none,none,Y
A0A075B6R0,TRGV2,TRGV2_HUMAN,TCRGV2,none,Y
A0A075B6R2,IGHV4-4,HV404_HUMAN,none,none,Y
A0A075B6R9,IGKV2D-24,KVD24_HUMAN,none,none,Y
A0A075B6S0,TRGJ1,TRGJ1_HUMAN,TCRGJ1,none,Y
A0A075B6S2,IGKV2D-29,KVD29_HUMAN,none,none,Y
A0A075B6S4,IGKV1D-17,KVD17_HUMAN,none,none,Y
