,Total_B_1,Total_B_2,Total_B_3,Total_B_4,Total_B_5,Total_B_6,Total_B_7,Total_B_8,Total_B_9,Total_B_10,Total_M_1,Total_M_2,Total_M_3,Total_M_4,Total_M_5,Total_M_6,Total_M_7,Total_M_8,Total_M_9,Total_M_10
A1BG,28.3409595054619,30.7558909203228,30.2266487020888,30.404259408567,29.6880748553144,30.1157000632648,30.9100645384967,30.3494210842101,29.6684778071146,30.2453585947679,28.7585301039907,28.5620541300596,29.2610510003498,28.3644862313481,29.195635785423,28.7603397631814,29.1319032241198,27.9101074390346,28.7895806566822,28.5817227829993
A2M,29.9648539025528,32.7125593647929,31.2185305523323,32.1345494276167,29.8582796684215,31.4051221278953,32.0399950135991,31.1539408636363,30.479812513547,31.765130735431,30.4757602677399,30.7535019563047,30.951506725749,30.2229695288079,28.6348146499047,30.4820267868415,30.5451738873876,28.4935819761559,29.2555915587394,29.4173978780261
AARS,28.169113167829,27.7097114237879,27.365195736409,27.6315226833789,27.7763684706348,27.6419617614947,28.2342531834426,27.7037181601087,28.4561494608828,27.792158978699,27.647187428399,28.4689034681233,28.1784516491804,28.2668249213515,27.3611008480918,28.3294143049549,27.7992179753419,28.421737538841,28.6645160776636,28.3811712103678
ABAT,27.4380943483673,22.1008035116186,23.2490752491661,23.3685434903441,23.7716289001566,24.3797427053013,27.6336026938905,23.4557576477735,28.1342801287851,26.0056243778804,27.0533092811268,26.4017149363657,26.350281382592,26.6518470345575,26.589637203911,27.3757552320235,27.8987948281602,27.1865026879307,27.4939636516101,28.4656379556021
ABCC4,26.4203727566967,22.081348688345,21.9775943772184,22.35233780574,20.7285895102656,26.083224472502,27.0603362460097,23.0603797643187,26.9962574509005,24.0643921460325,26.1697822105576,25.2356779953842,25.5150274794549,27.324143593218,27.5801778144987,26.7674926435785,27.0085978831432,27.7863746317982,27.6311757232174,26.8110292918622
ABCD3,24.6620454996415,23.8791727834753,23.299052649856,23.7042988170914,23.8905967882679,24.0013566490131,25.1277821547096,21.2990842609139,24.503912577619,24.1483338249695,23.6435039263031,21.5893060263536,24.363793083651,23.7801664736137,23.9061896533828,24.7892012856824,24.467870188648,24.955356183221,24.9588995843413,25.1907280471023
ABCE1,25.0024301307961,25.0714473047257,24.0084696568814,24.3839004258696,25.0426833685936,24.8235223486693,25.5598464080613,25.1691705265075,25.2258217057687,25.0677599556113,24.7953088337404,25.2461200932173,25.1406319646734,25.2496684477231,25.6047009414695,25.4815149178497,24.8821769535639,25.8062180128503,25.0071012004915,25.1903512856249
ABCF1,21.1186851141389,21.3392584735237,21.2260909528067,24.5635458895629,19.7656856015635,24.658563224422,24.7230180144379,23.5625760897812,22.4082266344835,23.4063299182386,24.7997614470509,24.7596415671911,24.351107460838,25.1606565377625,24.8170941272191,24.9938198277719,24.4200193085396,25.2000778206015,25.1802172500114,24.837256417851
ABHD10,25.7164389377034,25.1606565377625,19.5815627038986,22.7499749375554,25.2990444781864,25.9609331061083,25.9115938695629,23.6629690678866,26.0994483037188,25.7714022177415,26.2805799242316,26.3210837570106,25.943444332554,25.815824578939,27.5191585887334,26.6025788106026,25.9707727781095,27.0895217639931,26.8821536261587,27.6802310571295
ABHD11,25.4056151686435,24.0785924627832,20.9367015265989,22.8289527043061,25.2388149245508,23.3149825159723,20.7698020502526,22.5266095352631,22.7235930541536,25.3549114260257,25.7811675804756,26.7038501481277,27.3103402704035,25.6149000935202,25.740880107248,27.4273436662941,26.3167752465427,26.453043381153,27.2222325668911,29.2388149245508
ABHD14B,27.8501933248988,27.0495752204132,21.3185897530556,27.6345031013002,23.2854559940723,27.7365384980315,27.6931862838793,23.428118353489,28.0992877679252,22.3353280297277,26.9454774148148,27.4267840328446,27.2147495482697,27.4128029188527,27.7956308721791,27.7597685370518,27.8981028604227,28.0066197939888,28.3296281547753,27.3710254882002
