Entry	Entry name	Status	Protein names	Organism	Length	Gene symbol	Alias Genes
Q6ZSK4	NTAS1_HUMAN	reviewed	Putative uncharacterized protein NTM-AS1 (NTM antisense RNA 1) (NTM antisense gene protein 1)	Homo sapiens (Human)	140	NTM-AS1	C11orf39
Q9Y263	PLAP_HUMAN	reviewed	Phospholipase A-2-activating protein (PLA2P) (PLAP)	Homo sapiens (Human)	795	PLAA	PLAP
Q96RE7	NACC1_HUMAN	reviewed	Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B)	Homo sapiens (Human)	527	NACC1	BTBD14B;NAC1
O43312	MTSS1_HUMAN	reviewed	Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)	Homo sapiens (Human)	755	MTSS1	KIAA0429;MIM
Q9NP80	PLPL8_HUMAN	reviewed	Calcium-independent phospholipase A2-gamma (EC 3.1.1.5) (Intracellular membrane-associated calcium-independent phospholipase A2 gamma) (iPLA2-gamma) (PNPLA-gamma) (Patatin-like phospholipase domain-containing protein 8) (iPLA2-2)	Homo sapiens (Human)	782	PNPLA8	IPLA22;IPLA2G;BM-043
Q15319	PO4F3_HUMAN	reviewed	POU domain, class 4, transcription factor 3 (Brain-specific homeobox/POU domain protein 3C) (Brain-3C) (Brn-3C)	Homo sapiens (Human)	338	POU4F3	BRN3C
P08134	RHOC_HUMAN	reviewed	Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)	Homo sapiens (Human)	193	RHOC	ARH9;ARHC
Q5VZM2	RRAGB_HUMAN	reviewed	Ras-related GTP-binding protein B (Rag B) (RagB)	Homo sapiens (Human)	374	RRAGB	NA
P0DPB5	RPC22_HUMAN	reviewed	Protein POLR1D, isoform 2	Homo sapiens (Human)	122	POLR1D	NA
Q9BT43	RPC7L_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC7-like (RNA polymerase III subunit C7-like) (DNA-directed RNA polymerase III subunit G-like) (RNA polymerase III 32 kDa beta subunit) (RPC32-beta)	Homo sapiens (Human)	218	POLR3GL	NA
P51157	RAB28_HUMAN	reviewed	Ras-related protein Rab-28	Homo sapiens (Human)	221	RAB28	NA
P20338	RAB4A_HUMAN	reviewed	Ras-related protein Rab-4A	Homo sapiens (Human)	218	RAB4A	RAB4
P61020	RAB5B_HUMAN	reviewed	Ras-related protein Rab-5B	Homo sapiens (Human)	215	RAB5B	NA
Q9BRS2	RIOK1_HUMAN	reviewed	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)	Homo sapiens (Human)	568	RIOK1	RIO1
Q05823	RN5A_HUMAN	reviewed	2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L)	Homo sapiens (Human)	741	RNASEL	RNS4
P51149	RAB7A_HUMAN	reviewed	Ras-related protein Rab-7a	Homo sapiens (Human)	207	RAB7A	RAB7
O14966	RAB7L_HUMAN	reviewed	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	Homo sapiens (Human)	203	RAB29	RAB7L1
Q15311	RBP1_HUMAN	reviewed	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (Ral-interacting protein 1)	Homo sapiens (Human)	655	RALBP1	RLIP1;RLIP76
Q6GMV3	PTRD1_HUMAN	reviewed	Putative peptidyl-tRNA hydrolase PTRHD1 (EC 3.1.1.29) (Peptidyl-tRNA hydrolase domain-containing protein 1)	Homo sapiens (Human)	140	PTRHD1	C2orf79
P0DP57	SLUR2_HUMAN	reviewed	Secreted Ly-6/uPAR domain-containing protein 2 (Secreted LY6/PLAUR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2)	Homo sapiens (Human)	97	SLURP2	NA
Q86UU9	TKN4_HUMAN	reviewed	Tachykinin-4 (Preprotachykinin-C) (PPT-C) [Cleaved into: Endokinin-A (EKA); Endokinin-A/B (EKA/B); Endokinin-C (EKC)]	Homo sapiens (Human)	113	TAC4	NA
Q96MN5	TEAN2_HUMAN	reviewed	Transcription elongation factor A N-terminal and central domain-containing protein 2	Homo sapiens (Human)	208	TCEANC2	C1orf83
Q9NR97	TLR8_HUMAN	reviewed	Toll-like receptor 8 (CD antigen CD288)	Homo sapiens (Human)	1041	TLR8	UNQ249/PRO286
O75443	TECTA_HUMAN	reviewed	Alpha-tectorin	Homo sapiens (Human)	2155	TECTA	NA
Q8TBZ6	TM10A_HUMAN	reviewed	tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10A)	Homo sapiens (Human)	339	TRMT10A	RG9MTD2
Q96IK0	TM101_HUMAN	reviewed	Transmembrane protein 101 (Putative NF-kappa-B-activating protein 130)	Homo sapiens (Human)	257	TMEM101	NA
Q6ZWK6	TM11F_HUMAN	reviewed	Transmembrane protease serine 11F (EC 3.4.21.-) (Airway trypsin-like protease 4)	Homo sapiens (Human)	438	TMPRSS11F	HATL4
Q8IYU4	UBQLN_HUMAN	reviewed	Ubiquilin-like protein	Homo sapiens (Human)	475	UBQLNL	NA
Q9NVE5	UBP40_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 40 (EC 3.4.19.12) (Deubiquitinating enzyme 40) (Ubiquitin thioesterase 40) (Ubiquitin-specific-processing protease 40)	Homo sapiens (Human)	1235	USP40	NA
Q6A555	TXND8_HUMAN	reviewed	Thioredoxin domain-containing protein 8 (Spermatid-specific thioredoxin-3) (Sptrx-3) (Thioredoxin-6)	Homo sapiens (Human)	127	TXNDC8	SPTRX3;TRX6
Q14146	URB2_HUMAN	reviewed	Unhealthy ribosome biogenesis protein 2 homolog	Homo sapiens (Human)	1524	URB2	KIAA0133
Q96K62	ZBT45_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 45 (Zinc finger protein 499)	Homo sapiens (Human)	511	ZBTB45	ZNF499
Q9BRT2	UQCC2_HUMAN	reviewed	Ubiquinol-cytochrome-c reductase complex assembly factor 2 (Breast cancer-associated protein SGA-81M) (Mitochondrial nucleoid factor 1) (Mitochondrial protein M19)	Homo sapiens (Human)	126	UQCC2	C6orf125;MNF1
Q9UKY1	ZHX1_HUMAN	reviewed	Zinc fingers and homeoboxes protein 1	Homo sapiens (Human)	873	ZHX1	NA
