Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Marked as	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundance Ratio: (F1, 126) / (F1, 131)"	"Abundance Ratio: (F1, 127N) / (F1, 131)"	"Abundance Ratio: (F1, 127C) / (F1, 131)"	"Abundance Ratio: (F1, 128N) / (F1, 131)"	"Abundance Ratio: (F1, 128C) / (F1, 131)"	"Abundance Ratio: (F1, 129N) / (F1, 131)"	"Abundance Ratio: (F1, 129C) / (F1, 131)"	"Abundance Ratio: (F1, 130N) / (F1, 131)"	"Abundance Ratio: (F1, 130C) / (F1, 131)"	"Abundances (Normalized): F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundances (Normalized): F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundances (Normalized): F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundances (Normalized): F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundances (Normalized): F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundances (Normalized): F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundances (Normalized): F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundances (Normalized): F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundances (Normalized): F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundances (Normalized): F1: 131, Sample, n/a, n/a, n/a, GIS"	"Abundance: F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundance: F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundance: F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundance: F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundance: F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundance: F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundance: F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundance: F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundance: F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundance: F1: 131, Sample, n/a, n/a, n/a, GIS"	"Abundances Count: F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundances Count: F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundances Count: F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundances Count: F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundances Count: F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundances Count: F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundances Count: F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundances Count: F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundances Count: F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundances Count: F1: 131, Sample, n/a, n/a, n/a, GIS"	"Found in Sample: [S1] F1: 126, Sample, CON1, n/a, n/a, n/a"	"Found in Sample: [S2] F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Found in Sample: [S3] F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Found in Sample: [S4] F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Found in Sample: [S5] F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Found in Sample: [S6] F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Found in Sample: [S7] F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Found in Sample: [S8] F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Found in Sample: [S9] F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Found in Sample: [S10] F1: 131, Sample, n/a, n/a, n/a, GIS"	Modifications
FALSE	High	IsMasterProtein	Q15149-8	Isoform 8 of Plectin OS=Homo sapiens GN=PLEC	0	FALSE	Human	2829.205	73	342	2957	2	1	4525	513.4	5.76	11258.61	342	0	0.993	0.984	1.037	1.034	0.986	1.003	0.99	1.014	1.022	1573.3	1560.1	1643.3	1639	1562.2	1589.6	1569.7	1607.5	1620.3	1584.8	1573.3	1529.3	1613.2	1622.5	1419.6	1574.6	1480.7	1442.2	1533.8	1413.4	2	2	2	2	2	2	2	2	2	2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q15149	Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3	0	FALSE	Human	2823.8	71	342	2965	1	1	4684	531.5	5.96	11269.02	342	379	1.005	1.003	1.03	1.032	0.967	1.015	1.008	0.983	0.989	366417.9	365717.8	375490.8	376234.7	352538.8	369798.6	367254.2	358294.5	360592.2	364483.9	366417.9	358496.7	368605.4	372441.5	320350.2	366314.7	346437.2	321445.2	341348.7	325071.9	380	380	380	380	380	380	380	380	380	380	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q15149-4	Isoform 4 of Plectin OS=Homo sapiens GN=PLEC	0	FALSE	Human	2822.294	73	341	2950	1	1	4547	515.9	5.8	11239.15	341	0	0.943	0.979	0.925	0.912	0.784	0.92	0.87	0.97	0.893	196.7	204.2	192.9	190.2	163.6	192	181.5	202.4	186.3	208.7	196.7	200.2	189.4	188.3	148.7	190.2	171.2	181.6	176.4	186.1	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q15149-3	Isoform 3 of Plectin OS=Homo sapiens GN=PLEC	0	FALSE	Human	2821.379	72	339	2955	1	1	4570	517.7	5.74	11259.01	339	0	1.01	1.009	1.084	1.064	1.019	1.01	1.019	1.036	1.038	1282.8	1282.4	1377.7	1352.2	1295.1	1283.7	1295	1316.9	1319.1	1270.6	1282.8	1257.1	1352.4	1338.5	1176.9	1271.6	1221.6	1181.5	1248.7	1133.2	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q15149-6	Isoform 6 of Plectin OS=Homo sapiens GN=PLEC	0	FALSE	Human	2817.664	73	341	2949	1	1	4551	516.2	5.76	11232.39	341	0	1.003	1.013	0.809	1.007	0.921	1.023	0.954	1.085	0.746	34.6	35	27.9	34.8	31.8	35.3	32.9	37.5	25.8	34.5	34.6	34.3	27.4	34.4	28.9	35	31.1	33.6	24.4	30.8	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	0	FALSE	Human	2160.913	75	263	1372	261	1	5890	628.7	6.15	4451.85	263	2	1.06	1.059	1.072	0.989	0.923	1.087	1.035	0.946	0.944	181185.3	181043.5	183126.6	168964.3	157761.4	185767.5	176843.3	161665.8	161296.4	170879.7	181185.3	177468.8	179768.6	167260.8	143357	184017.4	166819.3	145039.1	152688.6	152402.3	285	285	285	285	285	285	285	285	285	285	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	0	FALSE	Human	2000.182	60	251	1560	250	1	4646	532.1	6.4	5417.02	251	1	0.992	1.002	0.993	0.931	1.032	0.976	0.985	1.039	1.022	184812.2	186709.9	185008.8	173508.8	192288.4	181848.7	183595.3	193515.4	190435.1	186330.9	184812.2	183023.3	181616.3	171759.5	174731.5	180135.5	173188.6	173613.1	180272.3	166182.7	280	280	280	280	280	280	280	280	280	280	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P21333-2	Isoform 2 of Filamin-A OS=Homo sapiens GN=FLNA	0	FALSE	Human	1728.641	73	151	2477	117	1	2639	279.8	6.05	10496.87	151	36	1.051	1.09	1.054	0.948	0.969	1	0.979	0.988	0.969	302105.8	313379.1	302996.8	272588.7	278709.6	287557.3	281366.2	283959.9	278520.3	287488.4	302105.8	307191.4	297440.7	269840.5	253262.1	284848.2	265417.5	254755.7	263656.7	256402	163	163	163	163	163	163	163	163	163	163	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O75369	Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2	0	FALSE	Human	1535.022	76	151	1499	134	1	2602	278	5.73	5604.56	151	4	1.017	1.021	1.03	0.939	0.994	0.995	0.981	1.012	1.01	136987.4	137561.1	138810.7	126497.5	133977.5	134083.5	132171.4	136387.3	136032.2	134733.4	136987.4	134844.9	136265.4	125222.2	121744.7	132820.3	124679.5	122360.4	128772.7	120164.5	157	157	157	157	157	157	157	157	157	157	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3	0	FALSE	Human	1507.492	54	207	1371	206	1	4128	468.8	7.12	4693.68	207	1	1.023	0.988	1.016	1.017	0.998	0.99	1.008	0.973	0.976	182719.7	176466.9	181434.2	181475.3	178139.2	176816.8	179975.1	173653.6	174236.1	178527.1	182719.7	172982.5	178107.2	179645.7	161874.2	175151	169773.6	155794	164937.8	159222.8	236	236	236	236	236	236	236	236	236	236	High	High	High	High	High	High	High	High	High	High	
