CON1	CON2	CON3	shRNA1	shRNA2	shRNA3	Accession	Description	Genename
#!{Type}E	E	E	E	E	E	T	T	T
#!{C:Group1}CON	CON	CON	shRNA	shRNA	shRNA			
3358.7	375.7	182.5	188	238	213.3	P16402	Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2	HIST1H1D
41.8	41.7	44.2	22.1	38.3	27.8	H7C2V1	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (Fragment) OS=Homo sapiens GN=PLOD3 PE=1 SV=1"	PLOD3
23.6	23.2	19.1	12.5	26.1	16.8	Q9H4B7	Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1	TUBB1
212.9	199	216.1	113.6	87.5	95.2	Q30154	"HLA class II histocompatibility antigen, DR beta 5 chain OS=Homo sapiens GN=HLA-DRB5 PE=1 SV=1"	HLA-DRB5
191.1	179	168	103	155.6	144.8	U3KQL2	Acylphosphatase-2 OS=Homo sapiens GN=ACYP2 PE=1 SV=1	ACYP2
3072.1	2978.8	3112.1	1701.1	1734.9	1671.3	Q5Y7A7	"HLA class II histocompatibility antigen, DRB1-13 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1"	HLA-DRB1
1782.4	1801.3	1706.9	988.2	1084.1	1055.3	P19971-2	Isoform 2 of Thymidine phosphorylase OS=Homo sapiens GN=TYMP	TYMP
1892.2	1777.3	1693.8	1059.1	1245.5	1203.4	O60706	ATP-binding cassette sub-family C member 9 OS=Homo sapiens GN=ABCC9 PE=1 SV=2	ABCC9
849.9	846.4	847.8	492	516.6	505.7	P20036	"HLA class II histocompatibility antigen, DP alpha 1 chain OS=Homo sapiens GN=HLA-DPA1 PE=1 SV=1"	HLA-DPA1
195.5	209.1	197.5	115.2	113	117.5	P04440	"HLA class II histocompatibility antigen, DP beta 1 chain OS=Homo sapiens GN=HLA-DPB1 PE=1 SV=1"	HLA-DPB1
1210.3	1301.8	1080.3	714	718	749	Q8WZ42-12	Isoform 12 of Titin OS=Homo sapiens GN=TTN	TTN
121	117.3	101.2	73.1	100	79.9	Q8TDI0	Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=1 SV=1	CHD5
7589.2	7401.8	7569	4621.8	4777.6	4636.8	P01903	"HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens GN=HLA-DRA PE=1 SV=1"	HLA-DRA
219.6	241	203.9	134.8	204.2	182.2	P78352-2	Isoform 2 of Disks large homolog 4 OS=Homo sapiens GN=DLG4	DLG4
6391.5	6182.6	6287.7	3933	3817.1	3835.7	P13761	"HLA class II histocompatibility antigen, DRB1-7 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1"	HLA-DRB1
1092.2	1070.5	1117.2	677.1	681.8	664.7	P13762	"HLA class II histocompatibility antigen, DR beta 4 chain OS=Homo sapiens GN=HLA-DRB4 PE=1 SV=2"	HLA-DRB4
988.9	936.5	934.1	620.7	667.8	640.8	P13533	Myosin-6 OS=Homo sapiens GN=MYH6 PE=1 SV=5	MYH6
3512	3362.6	3456.9	2226.4	2363.3	2219.3	P20039	"HLA class II histocompatibility antigen, DRB1-11 beta chain OS=Homo sapiens GN=HLA-DRB1 PE=1 SV=1"	HLA-DRB1
39.1	43	48.1	25.1	39.2	35.3	Q96Q07	BTB/POZ domain-containing protein 9 OS=Homo sapiens GN=BTBD9 PE=2 SV=2	BTBD9
4152.3	4094.4	4010.2	2673	2772.9	2675.6	X6R8F3	Neutrophil gelatinase-associated lipocalin OS=Homo sapiens GN=LCN2 PE=1 SV=1	LCN2
4261.8	3877.8	4150.4	2745.1	2673.3	2743.9	P26447	Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1	S100A4
175.8	192.5	161.3	114.1	163.9	127.8	O75367-2	Isoform 1 of Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY	H2AFY
2374.8	2432.7	2156.3	1565.4	2087.1	1907	Q9H792	Pseudopodium-enriched atypical kinase 1 OS=Homo sapiens GN=PEAK1 PE=1 SV=4	PEAK1
29.9	22.7	26	19.8	25.2	24.3	P10244	Myb-related protein B OS=Homo sapiens GN=MYBL2 PE=1 SV=1	MYBL2
1175.8	1193.1	1183.2	777.9	875.7	827	P0C221	Coiled-coil domain-containing protein 175 OS=Homo sapiens GN=CCDC175 PE=2 SV=2	CCDC175
3156.2	2950	3078.9	2120.9	2059.2	2111.5	P29034	Protein S100-A2 OS=Homo sapiens GN=S100A2 PE=1 SV=3	S100A2
607.6	599.5	611.3	408.7	475.8	452.3	O75061-2	Isoform 2 of Putative tyrosine-protein phosphatase auxilin OS=Homo sapiens GN=DNAJC6	DNAJC6
182	202.1	175.5	124.7	160.4	133.2	O43734	Adapter protein CIKS OS=Homo sapiens GN=TRAF3IP2 PE=1 SV=3	TRAF3IP2
391.2	368.9	346.4	270.8	306.6	291.2	Q49MG5	Microtubule-associated protein 9 OS=Homo sapiens GN=MAP9 PE=1 SV=3	MAP9
93.9	100.6	100.1	65.4	102.2	84.9	Q8TAQ5-2	Isoform 2 of Zinc finger protein 420 OS=Homo sapiens GN=ZNF420	ZNF420
292.6	269.6	266.6	206	221.6	212.5	A4D1S5-2	Isoform 2 of Ras-related protein Rab-19 OS=Homo sapiens GN=RAB19	RAB19
218.6	219.3	217.1	154.1	262.1	222	Q13439-5	Isoform 5 of Golgin subfamily A member 4 OS=Homo sapiens GN=GOLGA4	GOLGA4
89.6	77.9	78.8	63.7	85.2	82.3	Q9NUP1	Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Homo sapiens GN=BLOC1S4 PE=1 SV=1	BLOC1S4
8678	8640	8694.3	6207.7	6122.3	6328.9	P04233-2	Isoform 2 of HLA class II histocompatibility antigen gamma chain OS=Homo sapiens GN=CD74	CD74
79.1	86.2	67	56.7	75.6	79.4	Q8TCT8	Signal peptide peptidase-like 2A OS=Homo sapiens GN=SPPL2A PE=1 SV=2	SPPL2A
