"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Contaminant"	"Marked as"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Razor Peptides"	"Abundance Ratio: (F1, 126) / (F1, 128C)"	"Abundance Ratio: (F1, 127N) / (F1, 129C)"	"Abundance Ratio: (F1, 127C) / (F1, 130N)"	"Abundance Ratio: (F1, 128N) / (F1, 130C)"	"Abundance Ratio: (F1, 129N) / (F1, 131)"	"Abundances (Normalized): F1: 126, Sample, A2, n/a"	"Abundances (Normalized): F1: 127N, Sample, A3, n/a"	"Abundances (Normalized): F1: 127C, Sample, A4, n/a"	"Abundances (Normalized): F1: 128N, Sample, A5, n/a"	"Abundances (Normalized): F1: 128C, Sample, n/a, P1"	"Abundances (Normalized): F1: 129N, Sample, A6, n/a"	"Abundances (Normalized): F1: 129C, Sample, n/a, P2"	"Abundances (Normalized): F1: 130N, Sample, n/a, P4"	"Abundances (Normalized): F1: 130C, Sample, n/a, P5"	"Abundances (Normalized): F1: 131, Sample, n/a, P6"	"Abundance: F1: 126, Sample, A2, n/a"	"Abundance: F1: 127N, Sample, A3, n/a"	"Abundance: F1: 127C, Sample, A4, n/a"	"Abundance: F1: 128N, Sample, A5, n/a"	"Abundance: F1: 128C, Sample, n/a, P1"	"Abundance: F1: 129N, Sample, A6, n/a"	"Abundance: F1: 129C, Sample, n/a, P2"	"Abundance: F1: 130N, Sample, n/a, P4"	"Abundance: F1: 130C, Sample, n/a, P5"	"Abundance: F1: 131, Sample, n/a, P6"	"Found in Sample: [S1] F1: 126, Sample, A2, n/a"	"Found in Sample: [S2] F1: 127N, Sample, A3, n/a"	"Found in Sample: [S3] F1: 127C, Sample, A4, n/a"	"Found in Sample: [S4] F1: 128N, Sample, A5, n/a"	"Found in Sample: [S5] F1: 128C, Sample, n/a, P1"	"Found in Sample: [S6] F1: 129N, Sample, A6, n/a"	"Found in Sample: [S7] F1: 129C, Sample, n/a, P2"	"Found in Sample: [S8] F1: 130N, Sample, n/a, P4"	"Found in Sample: [S9] F1: 130C, Sample, n/a, P5"	"Found in Sample: [S10] F1: 131, Sample, n/a, P6"	"Modifications"
"False"	"High"	"IsMasterProtein"	"Q15149-4"	"Isoform 4 of Plectin OS=Homo sapiens GN=PLEC"	"0.000"	"False"	"Human"	"3069.917"	"72"	"347"	"3132"	"2"	"1"	"4547"	"515.9"	"5.80"	"10602.66"	"347"	"0"	"1.053"	"0.936"	"0.591"	"0.257"	"0.336"	"653.8"	"320.3"	"690.0"	"350.6"	"621.0"	"279.3"	"342.1"	"1167.7"	"1364.5"	"831.9"	"653.8"	"267.2"	"613.5"	"307.6"	"420.2"	"217.3"	"278.3"	"979.4"	"1262.2"	"719.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q15149-8"	"Isoform 8 of Plectin OS=Homo sapiens GN=PLEC"	"0.000"	"False"	"Human"	"3065.924"	"72"	"347"	"3127"	"2"	"1"	"4525"	"513.4"	"5.76"	"10589.74"	"347"	"0"	"1.098"	"0.781"	"1.201"	"1.151"	"1.302"	"473.4"	"505.6"	"346.0"	"530.8"	"431.2"	"459.5"	"647.1"	"288.2"	"461.2"	"353.0"	"473.4"	"421.7"	"307.6"	"465.7"	"291.7"	"357.6"	"526.4"	"241.7"	"426.6"	"305.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q15149"	"Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3"	"0.000"	"False"	"Human"	"3064.719"	"70"	"348"	"3125"	"2"	"1"	"4684"	"531.5"	"5.96"	"10582.06"	"348"	"379"	"0.935"	"0.619"	"0.905"	"0.528"	"0.509"	"224191.4"	"130204.5"	"285585.9"	"173988.0"	"239899.1"	"130876.3"	"210287.1"	"315440.7"	"329636.3"	"256898.7"	"224191.4"	"108591.0"	"253903.0"	"152630.6"	"162328.8"	"101854.0"	"171067.0"	"264585.8"	"304914.2"	"222265.8"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q15149-3"	"Isoform 3 of Plectin OS=Homo sapiens GN=PLEC"	"0.000"	"False"	"Human"	"3059.866"	"71"	"344"	"3119"	"1"	"1"	"4570"	"517.7"	"5.74"	"10566.81"	"344"	"0"	"0.875"	"0.780"	"0.812"	"0.668"	"0.723"	"517.2"	"405.0"	"505.6"	"449.4"	"591.4"	"396.6"	"519.5"	"622.3"	"673.1"	"548.8"	"517.2"	"337.8"	"449.5"	"394.2"	"400.2"	"308.6"	"422.6"	"522.0"	"622.6"	"474.8"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2"	"0.000"	"False"	"Human"	"2563.102"	"75"	"261"	"2331"	"259"	"1"	"5890"	"628.7"	"6.15"	"6898.33"	"261"	"2"	"0.822"	"0.753"	"0.811"	"0.528"	"0.473"	"212414.9"	"97231.8"	"170875.0"	"130669.0"	"258469.8"	"97102.8"	"129096.9"	"210597.9"	"247641.7"	"205477.1"	"212414.9"	"81098.4"	"151918.1"	"114629.1"	"174894.8"	"75569.9"	"105019.3"	"176645.6"	"229069.1"	"177776.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4"	"0.000"	"False"	"Human"	"1885.718"	"66"	"150"	"3227"	"121"	"1"	"1960"	"226.4"	"5.60"	"11190.70"	"150"	"36"	"1.083"	"1.030"	"0.635"	"1.587"	"0.678"	"192566.1"	"142569.6"	"143789.7"	"415237.0"	"177727.3"	"155644.8"	"138428.6"	"226570.9"	"261709.2"	"229434.1"	"192566.1"	"118913.4"	"127837.7"	"364265.8"	"120260.0"	"121130.0"	"112610.6"	"190043.5"	"242081.5"	"198503.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P15924"	"Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3"	"0.000"	"False"	"Human"	"1754.471"	"65"	"207"	"1655"	"207"	"1"	"2871"	"331.6"	"6.81"	"5388.69"	"207"	"0"	"1.330"	"1.166"	"1.135"	"0.371"	"0.430"	"237674.0"	"65109.7"	"258648.5"	"50457.9"	"178692.5"	"59965.7"	"55833.9"	"227899.0"	"136012.9"	"139581.0"	"237674.0"	"54306.2"	"229954.1"	"44251.3"	"120913.1"	"46668.1"	"45416.5"	"191157.4"	"125812.2"	"120763.9"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P12111"	"Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=1 SV=5"	"0.000"	"False"	"Human"	"1607.636"	"58"	"155"	"2203"	"121"	"1"	"3177"	"343.5"	"6.68"	"7775.11"	"155"	"37"	"0.663"	"1.371"	"0.416"	"1.940"	"0.836"	"97279.8"	"232791.4"	"62885.1"	"357019.2"	"146707.9"	"182698.9"	"169779.9"	"151040.5"	"184037.6"	"218419.5"	"97279.8"	"194165.0"	"55908.7"	"313194.4"	"99270.6"	"142184.8"	"138114.6"	"126689.9"	"170235.1"	"188974.0"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P21333-2"	"Isoform 2 of Filamin-A OS=Homo sapiens GN=FLNA"	"0.000"	"False"	"Human"	"1593.714"	"70"	"132"	"1339"	"116"	"1"	"2639"	"279.8"	"6.05"	"5080.29"	"132"	"17"	"1.159"	"0.772"	"0.789"	"0.859"	"0.687"	"95966.8"	"72451.6"	"92129.7"	"119783.0"	"82785.5"	"73555.9"	"93810.8"	"116723.4"	"139410.5"	"106995.8"	"95966.8"	"60429.9"	"81908.9"	"105079.4"	"56017.2"	"57244.6"	"76314.4"	"97905.4"	"128954.9"	"92571.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P98160"	"Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2 PE=1 SV=4"	"0.000"	"False"	"Human"	"1587.958"	"56"	"153"	"1194"	"153"	"1"	"4391"	"468.5"	"6.51"	"4501.38"	"153"	"0"	"0.685"	"1.760"	"0.768"	"1.269"	"1.387"	"51412.2"	"99976.2"	"40164.2"	"105552.9"	"75109.0"	"88672.3"	"56798.9"	"52322.7"	"83195.2"	"63908.3"	"51412.2"	"83387.5"	"35708.4"	"92596.0"	"50822.9"	"69008.9"	"46205.5"	"43887.3"	"76955.7"	"55292.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
