Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Marked as	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundances (Normalized): F1: 126, Sample, A1, n/a"	"Abundances (Normalized): F1: 127N, Sample, A2, n/a"	"Abundances (Normalized): F1: 127C, Sample, A3, n/a"	"Abundances (Normalized): F1: 128N, Sample, A4, n/a"	"Abundances (Normalized): F1: 128C, Sample, A5, n/a"	"Abundances (Normalized): F1: 129N, Sample, n/a, B1"	"Abundances (Normalized): F1: 129C, Sample, n/a, B2"	"Abundances (Normalized): F1: 130N, Sample, n/a, B3"	"Abundances (Normalized): F1: 130C, Sample, n/a, B4"	"Abundances (Normalized): F1: 131, Sample, n/a, B5"	"Abundance: F1: 126, Sample, A1, n/a"	"Abundance: F1: 127N, Sample, A2, n/a"	"Abundance: F1: 127C, Sample, A3, n/a"	"Abundance: F1: 128N, Sample, A4, n/a"	"Abundance: F1: 128C, Sample, A5, n/a"	"Abundance: F1: 129N, Sample, n/a, B1"	"Abundance: F1: 129C, Sample, n/a, B2"	"Abundance: F1: 130N, Sample, n/a, B3"	"Abundance: F1: 130C, Sample, n/a, B4"	"Abundance: F1: 131, Sample, n/a, B5"	"Found in Sample: [S1] F1: 126, Sample, A1, n/a"	"Found in Sample: [S2] F1: 127N, Sample, A2, n/a"	"Found in Sample: [S3] F1: 127C, Sample, A3, n/a"	"Found in Sample: [S4] F1: 128N, Sample, A4, n/a"	"Found in Sample: [S5] F1: 128C, Sample, A5, n/a"	"Found in Sample: [S6] F1: 129N, Sample, n/a, B1"	"Found in Sample: [S7] F1: 129C, Sample, n/a, B2"	"Found in Sample: [S8] F1: 130N, Sample, n/a, B3"	"Found in Sample: [S9] F1: 130C, Sample, n/a, B4"	"Found in Sample: [S10] F1: 131, Sample, n/a, B5"	Modifications
FALSE	High	IsMasterProtein	P01012	Ovalbumin OS=Gallus gallus GN=SERPINB14 PE=1 SV=2	0	FALSE	OV	448.271	48	13	897	13	1	386	42.9	5.29	2790.79	13	0	58017.8	67348.7	63531	72933.9	71986.5	76685.9	78821.1	65101.7	66783	70093.5	58017.8	57072	56318.5	63725.7	49088.8	59137.5	65524.6	54289.1	61714.5	60456.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q5NV90	V2-17 protein (Fragment) OS=Homo sapiens GN=V2-17 PE=1 SV=1	0	FALSE	Human	30.319	41	3	22	3	1	97	10.4	4.59	61.39	3	0	732	537.4	365.9	891	480.1	533.1	586.6	565.7	622.7	851.1	732	455.4	324.4	778.5	327.4	411.1	487.6	471.7	575.5	734	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A023T6R1	Mago nashi protein OS=Homo sapiens GN=FLJ10292 PE=2 SV=1	0	FALSE	Human	50.095	55	7	51	7	1	148	17.3	6.39	166.04	7	0	5621.4	4900	4585.5	3408.9	2742.4	5197.6	2228	3481.4	2858.2	3038.4	5621.4	4152.3	4064.9	2978.5	1870.1	4008.2	1852.2	2903.2	2641.3	2620.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A024R2L0	"Upstream binding protein 1 (LBP-1a), isoform CRA_a OS=Homo sapiens GN=UBP1 PE=4 SV=1"	0	FALSE	Human	12.802	6	2	9	1	1	540	60.5	6.35	14.23	2	0																					High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14498	RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2	0	FALSE	Human	63.63	19	8	33	8	1	530	59.3	10.1	93	8	0	3373.1	3574.6	1883.7	1818.4	1497.1	3817.7	1657.6	1967.9	2035.8	1499	3373.1	3029.2	1669.8	1588.8	1020.9	2944.1	1378	1641	1881.3	1292.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	E7EX90	Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=1 SV=1	0	FALSE	Human	303.009	39	36	200	36	1	1256	139	5.67	506.13	36	0	6987.2	12453.9	6185.3	8926.1	7701.5	12774.4	8897.3	8155.9	7483.8	7536.8	6987.2	10553.5	5483.1	7799.1	5251.8	9851.2	7396.4	6801.3	6915.8	6500.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A182AUA6	MHC class II antigen OS=Homo sapiens GN=HLA-DQB1 PE=3 SV=1	0	FALSE	Human	18.133	21	5	7	1	1	261	29.8	8.91	14.17	5	1	40.8	66.3	175.8	67.5	270.4	47.7	59.1	50.2	75.6	62.2	40.8	56.2	155.8	59	184.4	36.8	49.1	41.9	69.9	53.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q04656-3	Isoform 2 of Copper-transporting ATPase 1 OS=Homo sapiens GN=ATP7A	0	FALSE	Human	19.412	4	6	7	6	1	1581	172	6.38	13.3	6	0	349.4	777.2	360.4	436.5	401.4	577.2	417.6	364.2	419.6	373.9	349.4	658.6	319.5	381.4	273.7	445.1	347.2	303.7	387.7	322.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9H9B4	Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4	0	FALSE	Human	142.767	51	13	118	11	1	322	35.6	9.07	343.73	13	3	6244	7464.3	6110.6	7152.5	9343.4	7796.2	5903.5	6780	10596.4	8668.4	6244	6325.3	5416.8	6249.4	6371.4	6012.1	4907.6	5654	9792.2	7476.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P58166	Inhibin beta E chain OS=Homo sapiens GN=INHBE PE=1 SV=1	0	FALSE	Human	8.536	8	3	5	3	1	350	38.5	9.25	7.44	3	0	97.4	682.6	94.3	71.1	119.7	232.9	63.7	100.2	101.2	82.1	97.4	578.5	83.6	62.2	81.6	179.6	53	83.5	93.5	70.8	High	High	High	High	High	High	High	High	High	High	
